 12,  5,  1,  0,  0,  0,  1, 1000
  4, 11,  1,  0,  0,  1, -1, 1000
 15,  1,  4,  0,  1,  1,  1, 1000
  1,  7,  0,  1,  0,  1, -1, 1000
 18,  3,  3,  0,  1,  1,  1, 1000
  1, 14,  0,  4,  1,  0, -1, 1000
 17,  1,  3,  0,  1,  0,  1, 1000
  2,  5,  0,  1,  1,  0, -1, 1000
  7,  3,  0,  0,  0,  0,  1, 1000
  0, 11,  0,  4,  1,  0, -1, 1000
 22,  0,  6,  0,  0,  0,  1, 1000
  1,  6,  0,  1,  2,  0, -1, 1000
  8,  1,  0,  0,  0,  0,  1, 1000
  3,  8,  0,  1,  0,  0, -1, 1000
 15,  1,  1,  0,  0,  0,  1, 1000
  1,  7,  0,  0,  0,  0, -1, 1000
 13,  1,  4,  0,  1,  0,  1, 1000
  4, 13,  0,  0,  0,  0, -1, 1000
 19,  0,  7,  0,  1,  1,  1, 1000
  0, 14,  0,  2,  0,  0, -1, 1000
 18,  4,  1,  0,  0,  0,  1, 1000
  1, 16,  0,  3,  0,  0, -1, 1000
  8,  3,  1,  0,  1,  0,  1, 1000
  8,  3,  1,  0,  0,  0, -1, 1000
 10, 10,  0,  0,  0,  1,  1, 1000
  1, 22,  0,  2,  0,  0, -1, 1000
  9,  1,  0,  0,  1,  0,  1, 1000
  1, 24,  0,  3,  0,  1, -1, 1000
 13,  6,  0,  0,  0,  1,  1, 1000
  1, 19,  0,  3,  0,  0, -1, 1000
 12,  7,  0,  0,  0,  1,  1, 1000
  1,  9,  0,  0,  0,  0, -1, 1000
  9,  2,  0,  0,  0,  1,  1, 1000
  1,  8,  0,  0,  0,  0, -1, 1000
 15,  1,  1,  0,  0,  0,  1, 1000
  3, 19,  0,  2,  0,  0, -1, 1000
 12,  6,  0,  0,  0,  0,  1, 1000
  2, 14,  0,  0,  1,  0, -1, 1000
  9,  4,  0,  0,  1,  1,  1, 1000
  0, 32,  0, 16,  0,  1, -1, 1000
  5,  0,  0,  0,  0,  0,  1, 1000
  0, 15,  0,  0,  0,  0, -1, 1000
 14,  1,  3,  0,  1,  0,  1, 1000
  0, 19,  0,  2,  0,  1, -1, 1000
  6,  0,  2,  0,  0,  1,  1, 1000
  2, 17,  0,  1,  0,  0, -1, 1000
  8,  4,  3,  0,  0,  0,  1, 1000
  4,  3,  0,  3,  1,  0, -1, 1000
  8,  4,  0,  0,  0,  1,  1, 1000
  0, 20,  0,  0,  1,  0, -1, 1000
  3,  4,  0,  0,  2,  0,  1, 1000
  0, 11,  0,  0,  0,  0, -1, 1000
  6,  2,  1,  0,  1,  0,  1, 1000
  2, 25,  1,  1,  0,  0, -1, 1000
 17,  3,  1,  1,  0,  1,  1, 1000
  0,  7,  0,  0,  0,  0, -1, 1000
 10,  2,  1,  0,  0,  0,  1, 1000
  1, 22,  0, 11,  0,  0, -1, 1000
  9,  2,  1,  0,  0,  0,  1, 1000
  0, 16,  0,  1,  0,  0, -1, 1000
